Painting,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,Average
0,1,4,2,5,2,2,9,5,7,4,5,3,5,1,7,7,1,3,5,5,1,1,2,8,9,6,1,5,3,3,4,5,4,5,4,1,2,3,3,2,4,6,3,4,1,3,4,1,1,3.7142857142857144
1,7,4,7,9,4,3,9,7,4,5,4,6,3,8,9,7,3,3,4,6,5,5,3,4,6,2,6,5,4,3,2,5,8,3,6,2,6,4,7,1,6,6,8,9,2,6,4,1,1,4.938775510204081
2,1,2,3,4,2,1,9,6,2,4,5,3,1,2,6,1,1,1,2,5,1,1,1,3,3,1,2,2,1,3,1,1,2,3,5,2,1,2,2,4,3,6,6,2,1,2,2,1,1,2.5714285714285716
3,1,3,2,6,1,4,9,4,4,3,2,3,1,1,6,1,1,1,3,6,1,1,1,7,4,4,6,4,4,2,1,1,5,6,5,1,4,4,1,1,4,5,4,5,1,2,1,1,1,3.0408163265306123
4,6,4,6,4,4,4,9,7,5,3,6,2,3,7,4,1,1,4,6,6,1,1,3,3,8,6,4,4,6,4,7,3,2,2,6,2,1,1,3,4,2,5,4,5,3,2,3,1,1,3.857142857142857
5,2,2,3,3,2,2,9,3,3,3,1,3,1,2,2,1,1,1,1,4,1,4,1,3,3,7,4,1,1,2,1,2,1,3,3,1,1,5,1,2,1,5,1,2,1,7,2,1,1,2.3877551020408165
6,6,4,2,2,3,7,9,8,4,5,5,2,4,1,3,2,2,6,4,5,1,5,2,6,6,3,7,4,7,3,2,3,3,5,5,5,1,6,3,2,3,4,8,6,1,2,2,1,1,3.8979591836734695
7,5,4,5,5,4,5,9,7,4,5,5,2,5,3,6,5,1,4,4,7,1,9,1,7,6,5,6,8,8,3,1,2,2,7,7,5,2,3,3,6,2,6,3,9,1,7,3,1,1,4.489795918367347
8,3,4,5,5,2,7,9,4,4,5,5,3,3,1,2,2,2,3,5,6,1,7,4,8,5,4,4,2,2,3,1,1,7,6,4,2,2,4,4,3,7,6,8,3,5,7,3,1,1,3.979591836734694
9,2,4,3,1,4,4,9,5,3,1,6,2,1,2,1,3,1,2,7,4,1,7,3,6,5,3,4,4,3,2,7,1,1,8,5,3,1,4,2,2,4,6,3,5,1,5,3,1,1,3.3877551020408165
10,5,2,3,1,2,5,9,5,5,5,6,6,3,1,4,2,2,3,5,4,1,9,2,2,3,3,6,8,5,3,1,1,1,6,4,2,1,4,1,2,4,5,8,3,3,2,2,1,1,3.510204081632653
11,6,3,3,7,4,7,9,8,5,5,6,1,6,2,7,6,1,2,7,7,1,8,4,8,4,6,7,4,9,4,1,3,3,6,6,2,3,6,6,2,4,5,5,4,3,2,2,1,1,4.530612244897959
12,2,2,4,2,5,4,9,4,5,5,2,2,3,1,1,1,1,2,3,3,1,4,2,3,5,4,6,3,5,8,2,1,1,5,5,1,2,5,2,2,2,6,7,5,2,8,2,1,1,3.306122448979592
13,1,4,4,5,1,3,9,6,5,3,6,3,4,7,6,8,2,4,7,5,5,1,4,3,6,2,2,5,6,2,2,5,2,2,4,1,1,5,3,1,6,6,7,7,2,8,6,1,1,4.061224489795919
