Painting,Representational,BeautyRating_M,BeautyRating_SD,Liking_M,Liking_SD,Saturation,Brightness,HueSD,SaturationSD,BrightnessSD,RedLum,GreenLum,BlueLum,Luminance,AdjustedRedLum,AdjustedGreenLum,AdjustedBlueLum,Entropy,StraightEdgeDensity,NonStraightEdgeDensity,Meaningfulness,Complexity,Emotion,ColourWarmth,Vertical_Symmetry,Horizontal_Symmetry,Average_Symmetry,VerticalGrayscale_Symmetry,HorizontalGrayscale_Symmetry,AverageGrayscale_Symmetry,ColourComponent,Beauty
1.jpg,0,3.66,2.0,3.8864,2.2122,0.135289347526913,0.655551950464396,1.23791066869307,0.169320515769632,0.288897440322959,163.04,159.99,157.53,160.63,1.01500342401793,0.996015688227604,0.980700989852456,7.20062721860715,0.0196,0.066600000000000,3.82,4.64,4.04081632653061,3.39583333333333,0.82,0.8272,0.8236,0.8208,0.8293,0.825,0.44766374,1.0
2.jpg,0,4.88,2.07,5.1778,2.1029,0.234828456651201,0.578149446709377,1.12867030741656,0.149209481656844,0.231292734818996,143.0,122.65,125.66,129.08,1.10784009916331,0.950185931205454,0.973504803222807,7.69253212799453,0.0474,0.048300000000000,6.46,6.7,5.6530612244898,5.3125,0.8795,0.8686,0.8741,0.8856,0.8731,0.8793,-0.083031292,7.0
3.jpg,0,2.63,1.58,3.2826,2.1046,0.369807304259665,0.636996810457515,1.4373423604056,0.402676692195059,0.177729586131083,152.62,126.78,124.13,134.16,1.13759689922481,0.944991055456172,0.925238521168754,5.70491658511918,0.0298,0.007900000000000,4.88,3.24489795918367,3.16326530612245,5.79166666666667,0.8795,0.8686,0.8741,0.8856,0.8731,0.8793,-0.27006475,1.0
4.jpg,0,2.98,1.89,4.0,2.4309,0.29533764787216,0.836897292814405,0.386259309394398,0.232320726894956,0.112795836680707,209.1,198.97,155.03,197.08,1.06099046072661,1.00959001420743,0.786634869088695,6.72859931702295,0.0347,0.040700000000000,4.6,4.36,3.73469387755102,5.45833333333333,0.9456,0.9562,0.9509,0.9636,0.9692,0.9664,0.096139845,1.0
5.jpg,0,3.9,1.92,4.1304,2.4459,0.304563887039787,0.407173897543207,1.29549885812108,0.270462459541675,0.293224488545577,97.35,88.2,92.79,91.45,1.06451612903226,0.964461454346638,1.01465281574631,7.46023208853923,0.0453,0.030100000000000,4.0,5.2,4.3265306122449,4.64583333333333,0.8109,0.7454,0.7782,0.8111,0.7434,0.7773,0.182717042,6.0
6.jpg,0,2.31,1.52,3.4565,2.3637,0.281329446290263,0.592041830065359,0.50545121288876,0.164475630762398,0.222730946818348,144.14,136.92,112.69,136.32,1.05736502347418,1.0044014084507,0.826657863849765,6.83783127904063,0.0277,0.024700000000000,3.18,2.62,3.14285714285714,4.72916666666667,0.9587,0.9385,0.9486,0.964,0.9513,0.9576,0.138891499,2.0
7.jpg,0,3.84,1.97,4.1304,2.3908,0.28070844731295,0.693316351041841,0.949766911504461,0.151144554585194,0.158481460262223,174.38,160.9,131.14,161.59,1.07915093755802,0.995729933783031,0.811560121294635,7.22962560811108,0.0197,0.095200000000000,3.52,3.86,3.79591836734694,5.52083333333333,0.9611,0.946,0.9536,0.9742,0.9519,0.963,0.00529595,6.0
8.jpg,0,4.42,2.24,4.4565,2.5007,0.273785475750813,0.539035116369494,0.71190716029579,0.161509117828003,0.188922253128299,106.14,117.78,135.17,116.27,0.912875204265933,1.01298701298701,1.16255267910897,7.45684652742631,0.0492,0.022600000000000,3.62,4.5,4.3265306122449,3.3125,0.8873,0.9088,0.8981,0.8831,0.9061,0.8946,1.110466358,5.0
9.jpg,0,3.87,1.96,3.9333,2.3587,0.090294660447141,0.747840470060073,1.36846866675605,0.089288690256402,0.230682799103656,184.65,183.44,184.12,183.87,1.00424212759015,0.997661391200305,1.00135965627889,5.07900753231043,0.0236,0.044500000000000,3.92,3.76,3.69387755102041,3.60416666666667,0.9311,0.9454,0.9383,0.9276,0.9425,0.935,0.51905429,3.0
10.jpg,0,3.37,1.94,3.8182,2.0491,0.198292717209807,0.5443650498796,1.23011019566552,0.132549975436675,0.250703155176011,134.81,131.44,108.86,129.93,1.03755868544601,1.01162164242284,0.837835757715693,6.87859069923299,0.0323,0.056900000000000,3.6,4.32,3.71428571428571,4.47916666666667,0.9274,0.8689,0.8981,0.9293,0.8701,0.8997,0.252275924,2.0
